name,alias,status
"Delivery Boy,Document Collection",delivery-boy-document-collection-jobs,0
 Inbound Sales,inbound-sales-jobs,0
 Warehouse Assistant Manager,warehouse-assistant-manager-jobs,0
 Supply Chain Executive,supply-chain-executive-jobs,0
 Dispatch Incharge,dispatch-incharge-jobs,0
 Supply Manager,supply-manager-jobs,0
 Logistic Incharge,logistic-incharge-jobs,0
 Logistic And Documentation Executive,logistic-and-documentation-executive-jobs,0
 WareHouse,warehouse-jobs,0
 Store Keeper,store-keeper-jobs,0
TOKEN OPERATER,token-operater-jobs,0
 HVAC Foreman,hvac-foreman-jobs,0
 Bank Audit,bank-audit-jobs,0
 Internal Audit,internal-audit-jobs,0
 Fitness Trainer,fitness-trainer-jobs,0
"medical coding, biotechnology",medical-coding-biotechnology-jobs,0
Anytype,anytype-jobs,0
Delivery  boy,delivery-boy-jobs,0
Passport Checking Officer and ground staff,passport-checking-officer-and-ground-staff-jobs,0
Secruity gard,secruity-gard-jobs,0
Continental italine chef,continental-italine-chef-jobs,0
Dehradun,dehradun-jobs,0
 On Page,on-page-jobs,0
 Off Page SEO,off-page-seo-jobs,0
 Off Page,off-page-jobs,0
Executive Chef/ Corporate Chef,executive-chef-corporate-chef-jobs,0
 Executive Chef,executive-chef-jobs,0
Axix bank,axix-bank-jobs,0
Kitchen chef,kitchen-chef-jobs,0
"Office Work and field,technical work",office-work-and-field-technical-work-jobs,0
"I have experience in collections,",i-have-experience-in-collections-jobs,0
Fresher for management,fresher-for-management-jobs,0
Make-up artist beautician,make-up-artist-beautician-jobs,0
Electrical maintanace Engineer,electrical-maintanace-engineer-jobs,0
Fashion Model,fashion-model-jobs,0
 My Sql,my-sql-jobs,0
 Site Supervision,site-supervision-jobs,0
 Planning & Project Monitoring,planning-and-project-monitoring-jobs,0
 Supply Chain Management,supply-chain-management-jobs,0
Hotel industry & restaurant captain.,hotel-industry-and-restaurant-captain-jobs,0
 Bank Reconciliation,bank-reconciliation-jobs,0
 Payment Collection,payment-collection-jobs,0
Any designation will do for now,any-designation-will-do-for-now-jobs,0
 Tally ERP-9,tally-erp-9-jobs,0
 TDS,tds-jobs,0
 Busines Analysis,busines-analysis-jobs,0
Stores excutive,stores-excutive-jobs,0
A C Technician,a-c-technician-jobs,0
3d Designer & Visualizer,3d-designer-and-visualizer-jobs,0
 Photoshop,photoshop-jobs,0
 Autocad 2D,autocad-2d-jobs,0
 Business Sales Associate,business-sales-associate-jobs,0
Mixologi,mixologi-jobs,0
 Bartending,bartending-jobs,0
"Senior Sales Executive, ASM",senior-sales-executive-asm-jobs,0
 Area Sales Manager,area-sales-manager-jobs,0
 Senior Sales Executive,senior-sales-executive-jobs,0
 Sales & Marketing Manager,sales-and-marketing-manager-jobs,0
"    													       														   Sales & Marketing Manager",sales-and-marketing-manager-jobs,0
"Senior Sales Executive,",senior-sales-executive-jobs,0
Electrical Engineer ( Maintenance ),electrical-engineer-maintenance-jobs,0
 Client Analyst,client-analyst-jobs,0
 Personal Assistant,personal-assistant-jobs,0
Sr.system engineer,srsystem-engineer-jobs,0
 Router Configuration,router-configuration-jobs,0
 Hardware & Network Administrator,hardware-and-network-administrator-jobs,0
Mechanical Design Engineer/quality engineer,mechanical-design-engineer-quality-engineer-jobs,0
Observational Skill,observational-skill-jobs,0
Labour recruitment,labour-recruitment-jobs,0
 ID collection,id-collection-jobs,0
 filling Bio Date,filling-bio-date-jobs,0
 should have good interpersonal skill.,should-have-good-interpersonal-skill-jobs,0
"Billing Counter, attender",billing-counter-attender-jobs,0
 Computer Operator,computer-operator-jobs,0
 Typist,typist-jobs,0
 Clerk,clerk-jobs,0
 MTS,mts-jobs,0
 Microsoft Excel,microsoft-excel-jobs,0
 Typing Speed 40,typing-speed-40-jobs,0
 Data Entry Clerk,data-entry-clerk-jobs,0
 Hindi Typist,hindi-typist-jobs,0
 Typist & Clerk,typist-and-clerk-jobs,0
 Computer Data Entry Operator,computer-data-entry-operator-jobs,0
Sr computer operator,sr-computer-operator-jobs,0
 Non Voice,non-voice-jobs,0
Frister,frister-jobs,0
Mystery shopper,mystery-shopper-jobs,0
 Operation Management,operation-management-jobs,0
 Team Handling,team-handling-jobs,0
 Channel Sales,channel-sales-jobs,0
 Continental cuisine,continental-cuisine-jobs,0
 Food Manager,food-manager-jobs,0
 Italian Chef,italian-chef-jobs,0
 Head Chef,head-chef-jobs,0
 Lebanese Chef,lebanese-chef-jobs,0
 Food Safety,food-safety-jobs,0
 Chef de partie,chef-de-partie-jobs,0
Data Entry Operator..bpo,data-entry-operatorbpo-jobs,0
Diploma mlt,diploma-mlt-jobs,0
Store manager & whearhouse manager,store-manager-and-whearhouse-manager-jobs,0
 Marketing & Sales Manager,marketing-and-sales-manager-jobs,0
 Marketing Advisor,marketing-advisor-jobs,0
 Marketing work,marketing-work-jobs,0
 Marketing Promotions,marketing-promotions-jobs,0
 Marketing Strategy,marketing-strategy-jobs,0
 Marketing Associate,marketing-associate-jobs,0
 Sr Marketing Manager,sr-marketing-manager-jobs,0
 Marketing & Operation,marketing-and-operation-jobs,0
 Marketing Incharge,marketing-incharge-jobs,0
 Marketing Head,marketing-head-jobs,0
Chef de partie pastry and bakery,chef-de-partie-pastry-and-bakery-jobs,0
 Economic Development,economic-development-jobs,0
 Economic Research,economic-research-jobs,0
 Economics,economics-jobs,0
 Economics Teacher,economics-teacher-jobs,0
GOOD SKILLS IN DIGITAL ADVERTISING AND MARKETING,good-skills-in-digital-advertising-and-marketing-jobs,0
 Team Developer,team-developer-jobs,0
 Customer Retention,customer-retention-jobs,0
 Customer Relation Manager,customer-relation-manager-jobs,0
 Customer Service Manager,customer-service-manager-jobs,0
 Businesses development,businesses-development-jobs,0
 b2b,b2b-jobs,0
 B2c,b2c-jobs,0
 Cold Calling,cold-calling-jobs,0
 Mis Report,mis-report-jobs,0
 Client Relationship,client-relationship-jobs,0
 POWERPOINT,powerpoint-jobs,0
 Customer Support Executive,customer-support-executive-jobs,0
 Service Manager,service-manager-jobs,0
 Technical Support Operation,technical-support-operation-jobs,0
 Office Supervisor,office-supervisor-jobs,0
Counter incharge,counter-incharge-jobs,0
Pedodontist,pedodontist-jobs,0
Brand Manager/ professor,brand-manager-professor-jobs,0
Crime Scene Investigator,crime-scene-investigator-jobs,0
 Accountant & Auditor,accountant-and-auditor-jobs,0
 Sr Accounts Executive,sr-accounts-executive-jobs,0
 Reconciliation Accountant,reconciliation-accountant-jobs,0
 Busy Accountant,busy-accountant-jobs,0
 Assistant Accountant,assistant-accountant-jobs,0
 GST Trainer,gst-trainer-jobs,0
 Sales Tax Return Assessment,sales-tax-return-assessment-jobs,0
 Purchase & Retrun Entries,purchase-and-retrun-entries-jobs,0
 Accounts Manager,accounts-manager-jobs,0
 Tally ERP,tally-erp-jobs,0
 Accountant Executive,accountant-executive-jobs,0
 Senior Account Manager,senior-account-manager-jobs,0
 Taxation Executive,taxation-executive-jobs,0
 GST R1,gst-r1-jobs,0
 GST R2,gst-r2-jobs,0
 GST 3B,gst-3b-jobs,0
 Income tax and GST,income-tax-and-gst-jobs,0
